file,seed,kind,label,cycle,speed_m_s,distance_to_first_turn_m,K,realization,rng_seed,n_safe,hit,solve_ms,best_feasible_cost,delta_j_safe,delta_j_safe_over_lambda,ess_safe,best_stop_clearance_m,best_collision_clearance_m,best_first_raw_control,best_first_conditioned_control
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,15,7011615,0,False,60.0708330021007,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,16,7011616,0,False,49.36091700801626,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,17,7011617,0,False,50.35766601213254,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,18,7011618,0,False,48.940957989543676,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,80,19,7011619,0,False,48.9183339959709,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,0,7013200,0,False,93.56662500067614,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,1,7013201,0,False,93.3576660027029,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,2,7013202,0,False,94.69108299526852,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,3,7013203,0,False,93.28341600485146,,,,0.0,,,,
seed17_failure_after_first_zero_hold_cycle78.npz,17,failure,after_first_zero_hold,78,8.425228632519582,12.954514824209424,160,4,7013204,0,False,93.79283299495,,,,0.0,,,,
